"Comunidad";"Provincia";"Poblacion";"Latitud";"Longitud";"Habitantes";"Hombres";"Mujeres"
"Madrid";"Madrid";"San Fernando de Henares";"40.42553";"-3.536694";40981;20484;20497
"Andalucía";"Sevilla";"Mairena del Aljarafe";"37.34449";"-6.065354";40700;20150;20550
"Islas Baleares";"Illes Balears";"Manacor";"39.57434";"3.20142";40548;20494;20054
"Andalucía";"Sevilla";"Écija";"37.54093";"-5.079953";40400;19901;20499
"Andalucía";"Cádiz";"Puerto Real";"36.52912";"-6.191895";40183;20271;19912
"Catalunya";"Girona";"Blanes";"41.67427";"2.792096";40047;20297;19750
"Canarias";"Santa Cruz de Tenerife";"Granadilla de Abona";"28.12018";"-16.57691";39993;20540;19453
"Catalunya";"Barcelona";"Vic";"41.93029";"2.25435";39844;19940;19904
"Castilla León";"Soria";"Soria";"41.7636";"-2.464921";39528;18936;20592
"Catalunya";"Girona";"Lloret de Mar";"41.69878";"2.847584";39363;20879;18484
"Castilla León";"Burgos";"Miranda de Ebro";"42.68734";"-2.947593";39264;19839;19425
"Andalucía";"Jaén";"Andújar";"38.03675";"-4.054391";39111;19305;19806
"Catalunya";"Barcelona";"Igualada";"41.57877";"1.617193";38918;19325;19593
"País Vasco";"Guipúzcoa";"Errenteria";"43.31275";"-1.899633";38767;19009;19758
"Andalucía";"Málaga";"Rincón de la Victoria";"36.71566";"-4.275504";38666;19178;19488
"Valencia";"Valencia/València";"Burjassot";"39.51051";"-0.4149856";38433;18817;19616
"Catalunya";"Barcelona";"Vilafranca del Penedès";"41.34509";"1.699849";38425;19145;19280
"Castilla La Mancha";"Ciudad Real";"Tomelloso";"39.15775";"-3.020807";38095;19301;18794
"Valencia";"Valencia/València";"Ontinyent";"38.82102";"-0.610547";37735;18907;18828
"Galicia";"A Coruña";"Narón";"43.53705";"-8.180766";37712;18343;19369
"Galicia";"Pontevedra";"Vilagarcía de Arousa";"42.59387";"-8.765963";37576;18110;19466
"Canarias";"Santa Cruz de Tenerife";"Realejos (Los)";"28.36667";"-16.58333";37559;18601;18958
"Catalunya";"Barcelona";"Ripollet";"41.49736";"2.155674";37088;18787;18301
"Andalucía";"Málaga";"Ronda";"36.74196";"-5.166412";36827;18124;18703
"Andalucía";"Sevilla";"Palacios y Villafranca (Los)";"37.15859";"-5.924166";36824;18586;18238
"Canarias";"Las Palmas";"Arucas";"28.11927";"-15.52474";36259;18159;18100
"Islas Baleares";"Illes Balears";"Llucmajor";"39.48591";"2.89485";36078;18343;17735
"Andalucía";"Sevilla";"Rinconada (La)";"37.4878";"-5.979309";35928;17955;17973
"Catalunya";"Tarragona";"Vendrell (El)";"41.22042";"1.534845";35821;18039;17782
"Extremadura";"Badajoz";"Don Benito";"38.9543";"-5.861752";35791;17696;18095
"Canarias";"Las Palmas";"Puerto del Rosario";"28.4965";"-13.86221";35667;18551;17116
"Andalucía";"Jaén";"Úbeda";"38.00809";"-3.368519";35649;17489;18160
"Aragón";"Teruel";"Teruel";"40.34411";"-1.10691";35396;17264;18132
"Valencia";"Alicante/Alacant";"Villena";"38.63634";"-0.8661389";35222;17559;17663
"Murcia";"Murcia";"Mazarrón";"37.59907";"-1.313669";35221;18579;16642
"Murcia";"Murcia";"Cieza";"38.23907";"-1.418767";35200;17666;17534
"Catalunya";"Tarragona";"Tortosa";40811;"0.5209974";35143;17905;17238
"Andalucía";"Málaga";"Alhaurín de la Torre";"36.66836";"-4.552967";35114;17562;17552
"Murcia";"Murcia";"Yecla";"38.61524";"-1.118017";35025;17668;17357
"Navarra";"Navarra";"Tudela";"42.06388";"-1.605718";34717;17311;17406
"Valencia";"Castellón/Castelló";"Borriana/Burriana";"39.88987";"-0.0836936";34565;17406;17159
"Murcia";"Murcia";"Águilas";"37.4038";"-1.581161";34533;17426;17107
"Valencia";"Alicante/Alacant";"Petrer";"38.47744";"-0.7742523";34523;17231;17292
"Valencia";"Alicante/Alacant";"Villajoyosa/Vila Joiosa (la)";"38.50775";"-0.2326134";33797;16940;16857
"Catalunya";"Barcelona";"Sant Adrià de Besòs";"41.4306";"2.218239";33761;16622;17139
"Extremadura";"Badajoz";"Almendralejo";"38.68982";"-6.405679";33588;16973;16615
"Catalunya";"Girona";"Olot";"42.18211";"2.488189";33524;16856;16668
"Catalunya";"Barcelona";"Montcada i Reixac";"41.48231";"2.188504";33453;16668;16785
"Galicia";"A Coruña";"Oleiros";"43.3335";"-8.313619";33443;16205;17238
"Islas Baleares";"Illes Balears";"Marratxí";"39.64213";"2.752193";33348;16855;16493
"Castilla León";"Burgos";"Aranda de Duero";"41.67171";"-3.686569";32928;16444;16484
"Valencia";"Castellón/Castelló";"Vall d'Uixó (la)";"39.82333";"-0.2325619";32924;16365;16559
"Castilla La Mancha";"Guadalajara";"Azuqueca de Henares";"40.56503";"-3.268549";32744;16936;15808
"Canarias";"Santa Cruz de Tenerife";"Puerto de la Cruz";"28.41339";"-16.54516";32219;15652;16567
"Catalunya";"Barcelona";"Sant Joan Despí";"41.36769";"2.056065";32030;15701;16329
"Madrid";"Madrid";"Galapagar";"40.57736";"-4.00357";31820;15936;15884
"Valencia";"Alicante/Alacant";"Santa Pola";"38.1923";"-0.5552066";31760;16115;15645
"Catalunya";"Tarragona";"Cambrils";"41.06705";"1.056419";31720;15861;15859
"Cantabria";"Cantabria";"Castro-Urdiales";"43.38277";"-3.21957";31670;16102;15568
"Valencia";"Alicante/Alacant";"Jávea/Xàbia";"38.79546";"0.1166293";31593;15844;15749
"Murcia";"Murcia";"Torre-Pacheco";"37.74428";"-0.9536195";31495;16592;14903
"Murcia";"Murcia";"San Javier";"37.80569";"-0.8345491";31432;16114;15318
"Cantabria";"Cantabria";"Camargo";"43.40667";"-3.883333";31404;15639;15765
"Islas Baleares";"Illes Balears";"Santa Eulalia del Río";"38.98257";"1.530198";31314;16093;15221
"Andalucía";"Cádiz";"Arcos de la Frontera";"36.75078";"-5.812395";31210;15642;15568
"Castilla La Mancha";"Ciudad Real";"Valdepeñas";"38.76053";"-3.384104";31147;15374;15773
"Catalunya";"Barcelona";"Barberà del Vallès";"41.51596";"2.124723";31144;15544;15600
"Galicia";"A Coruña";"Carballo";"43.21217";"-8.691041";30990;15129;15861
"Castilla La Mancha";"Albacete";"Hellín";"38.51216";"-1.70331";30976;15507;15469
"Castilla León";"León";"San Andrés del Rabanedo";"42.61139";"-5.619493";30906;15042;15864
"Valencia";"Valencia/València";"Xirivella";"39.46669";"-0.4277937";30691;15474;15217
"Castilla La Mancha";"Ciudad Real";"Alcázar de San Juan";"39.38993";"-3.210137";30675;15191;15484
"Valencia";"Valencia/València";"Manises";"39.49073";"-0.4558824";30508;15140;15368
"Valencia";"Valencia/València";"Alaquàs";"39.45708";"-0.4610681";30392;15123;15269
"País Vasco";"Vizcaya";"Leioa";"43.3261";"-2.987704";30079;14706;15373
"Andalucía";"Córdoba";"Puente Genil";"37.39051";"-4.770465";30033;14927;15106
"Galicia";"Pontevedra";"Redondela";"42.28379";"-8.607425";30001;14684;15317
"Catalunya";"Girona";"Salt";"41.97416";"2.792586";29985;16132;13853
"Valencia";"Valencia/València";"Aldaia";"39.46505";"-0.4613582";29914;14976;14938
"Galicia";"A Coruña";"Arteixo";"43.30451";"-8.511387";29762;14906;14856
"Valencia";"Alicante/Alacant";"Calpe/Calp";"38.64483";"0.0454063";29666;15177;14489
